17	-1	1	-1	1	3	-1	-7	-3	1	1	-1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	-3	1	5	1	-1	1	-1	-1	1	1	-1	3	9	-7	-13	3	1	1	-1	1	-1	1	-1	1	1
13	1	-1	-1	1	-1	1	1	-3	1	1	-1	-1	1	-1	3	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	1	1	-1	1	-1	1	-3	3	-3	1	1	1	-1	1	1	-1	-1	-1	-3	1	11	-3	-9	3	-1	1	1	-1	1	3	-7	-7
1	-1	1	1	1	-3	-1	1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	-1	3	-1	-1	-3	3	1	-1	1	-1	-1	1	1	-3	-5	9	9	-9	-3	3	-1	-3	5	-1	-7	-1	7
-1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	1	1	-7	-3	15	1	-11	3	-1	3	-1	-7	-1	7	3
1	1	1	-1	-3	1	1	-1	1	1	-3	3	-1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	3	-1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	1	-1	1	-1	1	-1	3	-1	-7	5	13	-9	-7	5	1	-9	-1	9	1	-3
-1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	3	1	-3	-5	1	3	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	-3	3	-5	-3	11	7	-13	3	-7	-1	9	-1	-1	-1
1	1	-3	-1	3	1	1	-3	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	3	1	1	3	-1	-1	3	-1	-3	-7	1	3	-1	-1	-1	3	-1	1	-1	1	-3	1	-1	1	-1	1	1	-1	1	-7	1	15	1	-17	-1	11	-1	-3	1	1
1	1	-5	1	3	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-3	1	1	1	5	5	-1	-9	-5	5	1	-1	-1	-1	1	1	-1	1	1	1	-3	1	-1	1	1	1	-7	-3	11	3	-11	7	-1	-1	1	-1	-1
1	-3	-3	5	3	-3	-1	1	1	-1	1	1	-1	-1	1	1	-3	1	1	1	-1	-3	1	1	-1	1	-1	1	1	1	-1	-1	-1	9	5	-9	-11	5	3	-1	1	-1	1	1	-1	-3	1	3	-1	1	-1	-1	1	3	-5	-5	-7	15	1	-3	1	-1	1	-1
1	-5	3	3	-1	1	-1	-1	-1	3	-1	-1	1	1	-1	-1	1	-1	1	-3	-1	3	3	-1	-1	-1	-1	1	1	1	-1	1	-3	-3	7	13	-1	-17	1	3	-1	1	-1	1	-1	-3	1	1	1	-1	1	1	-1	3	-3	-21	13	11	-3	1	-1	1	-3	7
-5	-3	5	-1	-1	1	-1	1	1	-3	1	1	-1	-1	1	1	-1	1	-3	1	3	-1	-3	1	1	1	-1	-1	-1	3	-1	-3	5	1	-3	-1	15	-1	-19	3	3	-1	1	1	1	-3	-7	7	3	-3	1	-1	1	1	-7	3	7	-5	1	-1	1	-1	5	5
-5	-1	1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	3	-1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-5	3	5	-1	-1	-3	-1	-5	19	1	-17	3	3	-1	-1	1	1	-3	-3	5	1	-1	1	1	-5	-5	9	-1	1	-1	1	-3	7	3	-9
-3	1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	1	-3	1	-3	1	5	1	-3	-3	-1	3	1	-1	-5	19	-3	-15	3	1	-1	1	1	-1	-5	3	3	-3	3	-1	-9	7	5	-3	-1	1	-1	5	3	-5	-1
1	1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-3	3	-1	1	-1	1	1	-1	1	-5	5	5	-3	-3	-3	3	3	-1	-1	-1	-3	1	19	-9	-13	5	1	-1	1	1	-5	-9	11	5	-5	-7	3	9	-5	1	1	-3	1	7	-7	1	1
1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	-1	5	1	-5	1	-1	1	3	-3	-1	-1	-3	9	5	-7	-5	1	3	-1	-1	-1	1	-1	3	-3	1	13	-13	1	-1	1	1	-3	3	5	3	3	-3	-15	7	-1	-1	1	-1	1	9	-5	-3	-1	-1
-1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	-1	3	-3	-1	1	1	1	-3	1	-1	-1	9	-1	-9	-1	3	1	-1	-1	1	1	-1	3	-1	-3	-3	11	5	-15	5	-1	-5	3	13	5	-13	-5	9	1	-9	1	1	-1	-1	5	1	-5	1	-1	-1
1	1	1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	3	-5	3	-1	1	-1	-1	1	-3	9	-5	-5	5	1	-1	-1	-1	1	-1	1	1	-3	-1	3	-1	-3	15	-5	-9	1	5	13	-3	-13	-3	-1	3	3	-1	-1	-1	-1	3	7	-7	-1	-1	1	1
1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	3	-3	-1	3	-3	1	-1	1	-1	7	-5	-3	3	-1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-3	3	7	-5	3	9	-3	-11	1	-1	5	-5	-3	3	1	1	-1	7	-5	-3	1	1	-1	-1
-1	1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	3	-1	-1	-1	-1	1	1	3	-3	-5	5	-1	-1	1	-1	1	1	-3	1	1	-1	1	1	-3	-1	3	-7	5	9	-1	-7	-3	1	3	1	-1	-3	-3	9	-3	-3	7	1	-5	1	-1	-1	1	1
